"text","toss","non_comp","coder1nonc","coder2nonc"
"Tested, safe, and effective COVID-19 vaccines will help us defeat the virus, get back in control of our lives, and back to the people and places we love. Learn more about NC’s vaccine plan: https://t.co/cP1Fbt3U50 https://t.co/e3KXJHApeH",NA,0,0,0
"@QuancyClayborne Since people are already voting I don't think the RNC would have any choice but to choose Pence, who is on the same ballot. And they'd never pick Romney after his impeachment vote. Trump voters would stay home in droves so that gets the GOP nowhere.",NA,0,0,0
"In which we learn that Nashville city government covered up the fact that restaurants and bars were not a vector of covid-19 transmission so as to legitimize the continued lockdown https://t.co/qML1eRmYo0",NA,1,1,1
"""A closer look at California’s excess deaths during the period reveal a disturbing racial and ethnic variance: All the excess deaths not officially linked to COVID infection were concentrated in minority communities."" https://t.co/UXVAX7RhYR via @khnews",NA,0,0,0
"The Wyoming Republican governor who refused to implement a statewide mask mandate has COVID-19",NA,0,0,0
"For someone who wasn’t taking the necessary precautions with masks and social distancing, it wasn’t a question of whether, it was a question of when.

America, please learn from the president’s experience. Please wear masks, and please maintain physical distances in public.",NA,0,0,0
"With Questionable Economic Shutdown Blamed on Pandemic, California Cut Funding For Desperately Needed Fire Prevention
Continue Funding For Illegal Immigration 
Then They Blame Fires on Climate Change
 https://t.co/952wjnoUBF",NA,1,1,1
"Trump knew it was worse than the flu. 

Trump knew coronavirus was deadly. 

#TrumpKnew and he did nothing. https://t.co/rWKzj5Ti1i",NA,0,0,0
"New reports emerge from Chinese cities under #lockdown. One resident committed #suicide after going bankrupt. While others report forced #quarantine if just one building resident steps out the door. 

🔥Premiere 9:30 pm ET👉https://t.co/NEYdaUPdJZ https://t.co/7GgIWLdagY",NA,1,1,1
"Goodbye masks! H.R. 6435, the “Combating Pandemic Scams Act of 2020,” https://t.co/GlC0RrVbs8",NA,1,1,1
"COVID Update October 2:  Half the states or more are quickly growing cases and people who wear masks aren’t getting as sick.

And we have some absurd stuff going on. 1/",NA,0,0,0
"Today, I'm announcing key COVID-19 priorities for the first 100 days of my administration:

- Everyone wears a mask
- 100 million vaccinations
- Reopen the majority of schools

With these steps, we can change the course of the disease and change life in America for the better.",NA,0,0,0
"Key model predicts nearly 300,000 coronavirus deaths by December. Many of these MAGAs will probably be in that number. No masks. Lot’s of elderly people risking their lives for a man who is prepared to take their Social Security and Medicare in a hot second. https://t.co/etlBhsv71N",NA,0,0,0
"Odd that you guys would use this image in conjunction with your tweet, and not one more suited to why an organization that was forced to shut down due to a pandemic, would have loss revenue. But let’s try to make people believe otherwise through purposeful visual persuasion... https://t.co/lNfhdM8EKh",NA,0,0,0
"@Not_the_jin @ScottPresler @realDonaldTrump @FLOTUS What makes you think he'll ""suffer""?  61 yrs here ,tested positive and was pretty much asymptomatic except for slight fever and sore throat.  
Only the low IQ have fallen for the media hysteria. You DO know the survival rate is 99% per CDC? More likely to die from season flu.",NA,1,1,1
"BREAKING: Trump is reportedly suffering from a high fever and is being rushed to Walter Reed Hospital 
#TrumpHasCovid #WearAMask",NA,0,0,0
"@SandyForLiberty Just like the video of the well educated doctors telling us their much valued opinions on Covid-19,  masks and much more.  
So I found this other link, better HURRY  BEFORE THEY C ENSOR THIS ONE 
https://t.co/3qcso6NO1P",NA,0,0,0
"Anti vaxers really be like “You’re just gonna listen to doctors who studied medicine for 10 years? Wow enjoy being sheep , I’m gonna listen to a stay at home moms Facebook page cause I’m an independent thinker “",NA,0,0,0
"Protect yourself and your neighbors – wear a mask, practice physical distancing and wash your hands. We all share the responsibility for creating a healthy society, as Martin Luther reminds us in his 1527 essay “Whether One May Flee From a Deadly Plague.” https://t.co/b96URNucav",NA,0,0,0
"Two weeks to slow the spread to almost a year later of this Covid lockdown, this has gone on for far to long.",NA,1,1,1
"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!",NA,1,1,1
"I'm so pissed off right now! Healthcare workers are dying on the frontlines treating patients with COVID in Arizona with ZERO HELP from Gov @dougducey and his son Jack Ducey is having maskless parties? UNBELIEVABLE!!! https://t.co/4Wyf6qEJ0B",NA,0,0,0
"It’s not political.

It’s patriotic.

Wear a mask. Period.",NA,0,0,0
"Prior to covid seasonal allergies hit me I go in for a steriod shot. Sign near sign in clip said ""if you are experiencing flu like symptoms please put a mask on""  so people that were sick put a mask on. I never touch it cause I had seasonal allergies. Now everyone is wearing 🙄",NA,0,0,0
"If you think COVID is going to “go away after the election” you’re an idiot. 

The entire planet didn’t shut down to spite Donald Trump.",NA,0,0,0
"COVID-19 is still here. Please continue to wear a mask and practice social distancing.",NA,0,0,0
"Let me get this straight:

Huge, potentially life-saving news for Americans is announced—COVID vaccine is 90% effective in trials.

And the Left reacts by saying it's ""bad news"" because it happened while Trump is in office?

Unbelievable.

They're beyond parody at this point. https://t.co/xkt1F3xM1O",1,0,0,1
"If lockdowns work - wouldn’t you only need to do it once?",NA,1,1,1
"Lockdowns kill people. They must end immediately. They are government mandates that help rich people get richer. Open America NOW!",NA,1,1,1
"""Liberals push to relax rules protecting ballot integrity on the pretext of protecting society’s vulnerable from Covid-19. Then they target the elderly to harvest ballots. House Democrats want to mandate this nationwide.""   https://t.co/UOBzcta5qE via @WSJ",NA,0,0,1
"Destroying small biz with lockdowns isn't enough for the left, they want to be able to sue the ones who survive the lockdowns into oblivion.

Former Rep. Lynn Westmoreland: Georgia, Stand Up to NYC Trial Lawyers and Protect Frontline Heroes and Businesses

https://t.co/a7KvLWiDbW",NA,1,1,1
"President-elect Joe Biden wants to release more COVID-19 vaccine doses immediately to administer as many shots as possible. https://t.co/zzxRp6zCYL",NA,0,0,0
"The COVID-19 vaccine works until COVID-20 comes out. It’s a never ending cycle, so long as we comply.",NA,1,1,1
"3/ “Outstanding study”... “study &amp;  its size are unique in the world, &amp; purpose was once &amp; for all to try to clarify the extent to which the use of masks in public space provides protection against corona infection"" https://t.co/uVPHrnfpzE",NA,0,0,0
"@colin_sausage @ChrChristensen As someone who has been through lockdown — I would absolutely prefer a prison sentence over another lockdown. I would legitimately rather just die. The psychological torture of being locked inside for months, with no work, adventure, or social contact, is indescribable.",NA,1,1,1
"Pfizer/Moderna vaccines do not give you Covid. Dr Tom Friedan:

Think of it as “an email, sent to your immune system, that shows it a picture of what the virus looks like, and gives it instructions on how to kill the virus, and then, maybe like a Snapchat message, it disappears” https://t.co/B2n2FStI9A",NA,0,0,0
"1. Yesterday, Breitbart published a completely false article to suggest that masks are ineffective

Facebook has a policy against COVID-19 misinfo that could create imminent harm

Breitbart's article is dangerous

But Facebook is giving them a pass

Again

https://t.co/cuMkbNsO8Z",NA,0,0,0
"Mitch McConnell is a traitor to this country. That he got the vaccine after willfully failing to protect us from Covid-19 is obscene. That he's continuing to block aid to Americans that would help them survive the catastrophes his party created is unconscionable.",NA,0,0,0
"So let me get this straight: wearing a mask to save lives during a  pandemic should be a personal choice, but what a woman does with her own body should be mandated by the government?",NA,0,0,0
"When Trump was saying young people couldn’t get coronavirus, he knew they could.

When Trump was saying it was the same as the flu, he knew it was deadlier.

When Trump was purposely downplaying the severity, he knew it passed through the air. 

He knew.",NA,0,0,0
"Just finished an hour long unsuccessful resuscitation of a 16 year old in cardiac arrest.  Tell me again how a lockdown is the worst thing  that could possibly happen to you.",NA,0,0,0
"Just imagine if the president said: 

""My fellow American's. Today we start over. By each of us taking these few simple steps, together we can stop this virus. Please, wear a mask, social distance, and isolate and quarantine when needed.""

Instead...

https://t.co/tQrWPTnk3p",NA,0,0,0
"We have asked WH officials countless times why they don’t wear masks, and they always tell us it’s because they tested negative that day. 

But that doesn’t mean you don’t have COVID-19, and that doesn’t mean you aren’t contagious. 

Case/Point. https://t.co/diEoUaoCzn",NA,0,0,0
"For your family, for your neighbors, for your country — wear a mask.",NA,0,0,0
"For months Dems and the media pushed lockdowns in the name of “science”—and attacked anyone who questioned them.

Now even the WHO is denouncing lockdowns. 

What will the “listen to the science” crowd who crushed America’s economy with lockdowns say now? https://t.co/PU8iLD683m",NA,1,1,1
"@NikkiHaley Over 200k Americans have died because your guy continues to downplay the pandemic and wearing a mask which could save lives... but so happy the value of your house went up",NA,0,0,0
"@hank_ering @maartenvda @RhondaResisting @alvin_writer @Urtoez75_2 @JennyWearAMask @Gemini21BLM @jeffreyFCI @MimiBme919 @VampireKat @MarthaVotesBlue @Cheech69670973 @jillmcmullon @thewfh @jodispissed8645 @Peatches66 @coralgableswang @erin_hartigan4 @pranster @QuinnLeone4 @GreenEyedWMN @ChartreuseLoose @xSamBob @MichaelChrisLA @TheOCBeaches @ATrumpest @fliptotheMFflop @let_america @azgrl007 @ava_unity @oliwymom @AndersIwie @mousekerdoodle @WolfWolfBlue2 @juliepanther16 @DianeTippy @Amberdev4real @bunnykittenpupp @FernetBranca 😂 I read a lot of mature books and I even write mature content. 😂",NA,0,0,0
"I won't be president until January 20th, but my message today to everyone is this: wear a mask.",NA,0,0,0
"I sat in close proximity to two maskless, now COVID positive, White House staffers at last Thursday’s briefing. So I am now working from home &amp; getting regular COVID tests. https://t.co/B8JdrLEq55",NA,0,0,0
"Vaccines in this first shipment also left the Pfizer facility by UPS ground transport.

The meticulous logistics involved in getting this Covid-19 across the country are and incredible collaborative effort https://t.co/75INLJxCl6",NA,0,0,0
"✅LOOK AT HIS FACE‼️What r we so afraid of?’
Tony Green, on dismissing, denying, contracting and spreading the coronavirus PAIN⁉️ https://t.co/nogB3DvMBC 😷 #virus #virusvideo #stayhome #corona #hospital #health #pandemic #masks #doctors #lockdown #italy #death #quarantine #trump https://t.co/RnILMd2VBJ",NA,0,0,0
"Mr. President—this is your last act.

You will be accountable for this COVID bill and its results.

The bill MUST help struggling Americans &amp; fund state/local aid &amp; vaccine distribution.

You're about to exit the stage &amp; the audience always remember the close.

It's up to you. https://t.co/MZx0rnEFvL",NA,0,0,0
"China has never had a virus or lockdowns! They've never social distanced or worn masks! The West has been lied to!! 
https://t.co/QxqTZTwv8R",NA,1,1,1
"""Make no mistake, this was not just reckless behavior, this was a demonstration of a wanton disregard for human life. President Trump, now in quarantine, has become a symbol of his own failures.""

- @JakeTapper on the President's positive Covid-19 test.

https://t.co/LkjlY44i8i https://t.co/R48pFbMT4F",NA,0,0,0
"#IWearAMaskBecause it's better than wearing a ventilator. 
#SaturdayThoughts  
#SaturdayMorning https://t.co/Yg8DFxVJ89",NA,0,0,0
"White House staff members are now reportedly stepping over one another to be some of first people in United States to get Covid-19 vaccine — ahead of many seniors and front-line health care workers.  Daily Covid deaths are higher than ever.  Thanks for everything.",NA,0,0,0
"The media’s timeframe for getting past COVID-19 keeps getting longer and longer.  If Biden is elected, there’s a good chance we are all wearing masks in 2024.  “Here’s How the Pandemic Finally Ends” - POLITICO https://t.co/OW5draEysf",NA,1,1,1
"The lockdowns opened so many eyes to the truth.",NA,0,0,1
"Small businesses, family and immigrant-run businesses represent real lives and a living history that NYC, Chicago, DC etc. have destroyed with obscene Covid rules and lockdowns. https://t.co/3aaVdoBsaB",NA,1,1,1
"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!",NA,1,1,1
"NEW: Biden to be sworn in on Capitol steps, where he’ll give inauguration address. But just about everything else about his inauguration is being reimagined — with planners urging Americans to stay at home and parade likely to be mostly virtual. My latest: https://t.co/3iDwM4Iqd0",NA,0,0,0
"I’ll be receiving the #CovidVaccine later this afternoon. It’s a day mixed with emotions but I’m happy this day has come. Let’s spread the word, get people vaccinated, and turn the tide on this pandemic! 
#RightToBareArms 💪🏾 https://t.co/h5qduRHffZ",NA,0,0,0
"Hope Hicks, who has been working so hard without even taking a small break, has just tested positive for Covid 19. Terrible! The First Lady and I are waiting for our test results. In the meantime, we will begin our quarantine process!",NA,0,0,0
"Remember when Trump declared doctors are profiting off of #covid? 1700 healthcare workers have died of #covid. If you know a frontline health care worker, give them all the love and support you can. They are doing the work with a sense of hopelessness, b/c people don’t mask.",NA,0,0,0
"Pelosi telling these Republican numpties to put their masks on and follow social distancing guidelines ""for your on health"" is pretty hilarious",NA,0,0,0
"Wuhan was COVID-19 ground zero: whole city completely shut down. No one allowed in or out. Our @StateDeptDSS team worked 24/7 to evacuate 800 Americans in 72 hours &amp; bring @StateDept employees home safely. https://t.co/nqQcN6rd6M",NA,0,0,0
"Open it all up. Make your own damn decisions about how much risk you are willing to take. If you want to stay home, stay home. If you want to live more freely, live more freely.",NA,1,1,1
"The Biden-Harris plan to get this pandemic under control includes free testing and free vaccines available for everyone.",NA,0,0,0
"Right now @AZDHS Director Cara Christ is briefing @POTUS &amp; @VP on the successful #CovidVaccine site @StateFarmStdm https://t.co/JEUSRpYewj",NA,0,0,0
"FOR THE RECORD: You can't get mad at US for saying ""karma"" when the assholes who refuse to wear a mask, and mock others for wearing masks, finally catch COVID-19.

That's how karma works, bitches.",NA,0,0,0
"Our country has been played:

To believe that Covid cannot be treated by available medicines.

To believe we must separate by 6 feet.

To believe we need masks.

To believe we suffer systemic racism.

To believe police are bad.

To believe Biden won.

TIME TO STOP BEING PLAYED!!!",NA,1,1,1
"More Americans died of COVID19 today than died on 9/11.

After that horrendous attack, we restructured our way of life &amp; accepted limits on our freedoms to combat the threat of terrorism.

9/11 was one day. COVID is everyday.

Be a patriot. Wear a mask. Help us end this pandemic.",NA,0,0,0
"She tweets this from a stage 5 lockdown 

English are so obedient https://t.co/PQhNWxlWRT",NA,0,0,0
"Joe #Biden disowned blocking travel from China as “xenophobic”.

#Pelosi &amp; #Cuomo encouraged people to go out with their friends, visit China town, &amp; hug people.

#Newsom publicly broke his own lockdown &amp; #Lightfoot threw a superspreader block party.

Where is the accountability?",NA,0,0,1
"Mitch McConnell and Donald Trump have spent the last 4 years doing everything in their power to suppress your constitutional right to vote. They’d love nothing more than for voters to stay home from the polls. Prove them wrong. Make a plan. Vote early. https://t.co/jCSMR6afcM",NA,0,0,0
"Vaccines are here. But it's important that we continue to stay six feet away from others, wear masks, and avoid crowds to help slow the spread of COVID-19.",NA,0,0,0
"Why in the world are vaccines being treated as the holy grail of effective treatments for COVID-19—or even as an effective treatment at all?",NA,1,1,1
"My wife looked at me last night with complete sincerity and asked,

""How long will COVID, common cold/flu be prioritized ahead of cancer, diabetes, heart disease?"" 

My answer was "" Not very long if President Trump gets re-elected"" @SidneyPowell1 @GenFlynn",NA,1,1,1
"Top pathologist Dr. Roger Hodkinson even more profound, as he said the COVID ""crisis"" is ""the greatest hoax ever perpetrated on an unsuspecting public""; it's ""politics playing medicine, and that's a very dangerous game.""
Vaccine=Sterilization  https://t.co/7TQEGSohFs",NA,1,1,1
"Pritzker files new emergency rule to continue mask, social distancing mandates in Illinois | Illinois | https://t.co/MlZucft7cg https://t.co/DrJLP5mDfB",NA,0,0,0
"Folks, we can save nearly 100,000 lives by the end of the year if everyone wears a mask in public.

Do your part. Protect your neighbors. Wear a mask.",NA,0,0,0
"Top doc drops 10-megaton bomb on lockdowners, says deaths per cases now lower than regular flu.  https://t.co/t9Mf6tcfWD",NA,1,1,1
"Wow - Cunningham indicates he won't take a coronavirus vaccine if one is made available: ""I've got questions"" because he's seen ""politics intervening in what should be driven by health and science."" 

""Yes, I would be hesitant."" #ncsen",NA,1,1,1
"DISGUSTED—Trump’s Pentagon used taxpayer $ meant for masks &amp; swabs to make jet engine parts &amp; body armor. Shortly after Congress passed Cares Act, Pentagon began diverting pandemic-related funds to DOD contractors. #COVID19

➡️WE STILL LACK PPE &amp; TESTING!
https://t.co/FRuMAX3fI5",NA,0,0,0
"#WearAMask this is not over ....!!! https://t.co/WUobCE2tV4",NA,0,0,0
"@usaveitcorp hi! I see you're on my state DPH website as providing COVID vaccines, however when I click the link I can't see how to sign up. Can you help me (and other Georgians) figure it out?

Thank you!",NA,0,0,0
"@KellyO I see sufficient social distancing.",NA,0,0,0
"An office, crowded with people, Trump’s team not wearing masks. And then he mocks a reporter for wearing one. ON THE DAY AFTER RECORD COVID CASES IN US.  What is wrong with these people?

Trump Mocks Reuters' Jeff Mason for Wearing Mask in Oval Office https://t.co/lNA1WgvlpW",NA,0,0,0
"@jaketapper not all of us are against #lockdown in #Michigan",NA,0,0,0
"@politico It's a PAMDEMIC. A guitar instrumental dedicated to our @frontline &amp; the 260k who lost their lives to C-19 https://t.co/FKUtJLrKzL #nursesmatter #NursesForBidenHarris  #Doctor #COVID19 #Doctors #pandemiclife #pandemic #WearAMask #WearADamnMask #MaskUp #FRONTLINE #MasksSaveLives",NA,0,0,0
"@realDonaldTrump The POS Dem @GovSisolak destroys NV with an extended Covid shutdown then in a midnight state house “emergency” session legalizes unprecedented unsolicited ballot mail out to all registered voters and ballot harvesting IN THE MOST TRANSIENT STATE IN THE USA = MASSIVE FRAUD. https://t.co/K151wlLX2A",NA,1,1,1
"Iowa Gov. Kim Reynolds ends social distancing guidelines, despite continued high cases of COVID-19 https://t.co/UK4u4ALN7u",NA,0,0,1
"Trump knew in February. 
He knew that COVID-19 passes through the air.
He knew it is deadlier than the flu.
He knew it is dangerous to more than just our elderly and vulnerable.

He purposely downplayed the pandemic. And now, 190,000 Americans are dead.",NA,0,0,0
"Understanding #COVID19 Vaccine Hesitancy in the Black Community https://t.co/YvwJSizdv1 - via LeftTimes https://t.co/f3ttU9uJ65",NA,0,0,0
"@RhondaResisting @JennyWearAMask @hank_ering @Urtoez75_2 @maartenvda @oliwymom @jillmcmullon @mousekerdoodle @Amberdev4real @Gemini21BLM @ckmargolis @KrissyIsListy @pranster @MarthaVotesBlue @ava_unity @MichaelChrisLA @let_america @MimiBme919 @VampireKat @azgrl007 @bunnykittenpupp @QuinnLeone4 @AndersIwie @juliepanther16 @DianeTippy @WolfWolfBlue2 Now this is a beautiful woman. 😍",NA,0,0,0
"Los Angeles residents must stay at home amid a surge in #coronavirus cases, rules the city's Mayor Eric Garcetti. 

#LA #COVID19

https://t.co/QqSdVdZj7g",NA,0,0,0
"A New York GOP club held a maskless party as covid-19 cases surged, video shows. A Queens candidate led the conga line. https://t.co/vjlXbgGFKy",NA,0,0,1
"They faked the death totals.
They faked the death models.
They used fake hospital footage...

They wouldn't fake/rig the COVID test results to keep you in lockdown and destroy the economy...

Would they?

🤔",NA,1,1,1
"Rupert Murdoch got the Covid vaccine the day after Tucker Carlson spent his entire show sowing doubt about the Covid vaccine.",NA,0,0,0
"You have no idea the Hell you put us through, Governor! Your 3/25 mandate putting COVID patients into nursing homes killed our families and we aren’t going away! We will never stop fighting you and the heartache you unleashed upon the innocent families grieving unimaginable loss! https://t.co/gcAQjbQPls",NA,0,0,1
"@DeepStateExpose Firenze, New lockdown is 
Just prepare for next week. Italy is under attack.",NA,1,1,1
"This Floridian will wear a mask, practice social distancing and vote for @JoeBiden and @KamalaHarris at the voting booth for my vote to count. Florida is a very important state that we must win for this election.",NA,0,0,0
"There is no excuse to lock down an entire economy when death rates are not soaring.

Lockdowns destroy people in other ways.",NA,1,1,1
"Thank you for the concern! I will begin quarantine now and get a COVID-19 test promptly!",NA,0,0,0
"Pfizer's ex-chief of allergy research Dr. Michael Yeadon has asked the EU's Medicine Agency to halt COVID vaccine studies. 

Why? 

If vaccines ""trigger immune reaction against syncytin-1"" then ""infertility of indefinite duration could result in vaccinated women.""

INFERTILITY.",NA,1,1,1
"President elect Joe Biden and Dr. Biden will get a #covid vaccine today. According to an NPR/PBSNewsHour/Marist survey, 61% of Americans say when available, they will, too. People who won’t: supporters of Trump, people who live in rural areas, and people without college degrees.",NA,0,0,0
"CDC confirms that your cloth mask may protect you, not just others https://t.co/1cNGpfSmPv",NA,0,0,0
"Texas, Florida and South Dakota governors refuse lockdowns as coronavirus resurges

https://t.co/8yVMNEahst",NA,0,0,1
"The pandemic isn’t over. We need to act collectively to take care of our #ATX community. 

🩺 Get tested
😷 Wear a facemask
👬 Practice social distancing
💉 Get your flu shot
https://t.co/pERJ4aj576",NA,0,0,0
"The idea of the theory put forward is that masks can block a significant number of coronavirus droplets, lowering the dose of virus a person breathes in and reducing the chances the person will experience serious illness. https://t.co/GNSQtlXB4Q",NA,0,0,0
"COVID now 4th largest mass casualty event in US history. Topped only by the Civil War, WWII, 1918 flu pandemic.",NA,0,0,0
"@lexgirl10 @Jan4Jesus45 @Jacfam2 @MyQueenRedVenus @engthing9 @FM_NoAlgos @Patriot2Nurse @SivMrs @gianis0 @keith0sta @Chickapea60 @AussieMomSusan @AnRua3 @girl_kag 🍕🍕NYC MAYOR DE BLASIO WIFE WEARING PEDO MASK!🍕🍕 https://t.co/XLn3mRtRpU #pedowood #pizzagate #pedoslut #COVID19 #BREAKING #coronavirus #Patriots #WWG1WGAWORLDWIDE #QAnons #NoNewNormal #pedogate2020 #occult #secrets",NA,0,0,0
"The point isn't just that Florida has a better case rate and death rate than the strict lockdown states--it also managed to NOT destroy the lives of millions of healthy people.

Gov. DeSantis is a hero.",NA,1,1,1
"I'm an ER Nurse in Seattle. Last night @SeattlePD officers came to the ER to obtain a statement from an assault patient. One officer, Eric Whitehead, blatantly refused to put a mask on while standing in a high-traffic hallway. There were covid positive pts in nearby rooms. 1/",NA,0,0,0
"I am publicly inviting Joe Biden to sit down with me on Life, Liberty &amp; Levin for a full hour interview.  Subjects would include the Supreme Court, China, the coronavirus and coming vaccine, law and order and the riots, and his 110-page manifesto.",NA,0,0,0
"TWITTER FRIENDS! I am a March birthday, and last year my birthday happened just as the world shut down before we all knew the joys of Zoom birthdays! 

As I approach my second pandemic birthday, what's the most fun thing you've done indoors + safely for a birthday this year?",NA,0,0,0
"It was one thing when my son crashed my press conference a month or so ago, but this... Now is not the time to travel. Stay home - and by that, I mean your own home. https://t.co/OOUb1tqBZe",NA,0,0,0
"Covid claimed the lives of 217 people in Florida today. Never forget that @marcorubio skipped to the front of the line to get his vaccine. I would have given mine to your grandmother, your aunt or a nurse working the front lines. Visit https://t.co/xJYDR1zWHE to take action.",NA,0,0,0
"I just received a positive COVID-19 test result after being locked down in a secured room at the Capitol where several Republicans not only cruelly refused to wear a mask but recklessly mocked colleagues and staff who offered them one.
https://t.co/wVmgroKsdf",NA,0,0,0
"@Djangomydog @drodvik52 @ICEMANBOVEN @CatherineResist @Fix8d2020 @ZACKHAMMER7 @steelerschic_85 @SDDNP @rocketette @zelda229 @Empath_g_app @4a_of @yokoboji @BlueWaveSaveUs @mrs_hawaii @AshleyJoanisse @RENEEWEATHERS2 @BlkSantaX @PPersnickety @MALIHAMED1 @burbaburts001 @TCRG2012 @doxie53 @jacketrose86 @Rosie_wearamask @fireman452a @jbm32753 @Jet1Jack @donnariceberry @cbeidson @hippie_woman @CrazyInAZ1 @RandiMax2 @RN00711 @iused2bakecakes @Mili_Flores808 @LocolopezNYC @PlumptyTrumpty @WordsDawn @PattyCross2160 @Dadilicious2 @MauraRolls @ButtersKatz @pixie_gates @Rubicon1313 @sarahbeth0404 @CatEyezGreen_ @resistwithEllen @LosiKaren @book960 Hey Rodney 💙 https://t.co/0HKd6hClcr",NA,0,0,0
"@Zigmanfreud The best part, I’ve heard there’s a number of healthcare workers who don’t plan on getting the covid vaccine and are going to leave the industry... you all did this to yourself allowing this crap unchecked all over!!!",NA,0,0,1
"@ChristRescues @GeoffSchuler @crabb_vicki @immunotoxPhD @JaneEOpie @Death_is_final @FrankDElia7 @TheFrankmanMN @weaponizedword1 @LynnleeMavakay @krebiozen @ChrisJohnsonMD @KStateTurk @ianfmusgrave @SMcwoof @PatriotBee78 @BGLTHMND @qtbeauty @RisetteMD @drewawerd1 @jandretta81 @TeddyFreddy11 @natedoromal @chaoticsx2 @Monstercoyliar @djrazorgirl @KatLaRue7 @Rosewind2007 @cappsie @TruthTwt @microRNApro @LaLaRueFrench75 @WendyOrent @kidoctr @TinFoilAwards @jkellyca @kfunk937 @mcfunny @LG28640297 @anniecherokee @AuriaZepherine @Flying_Shadowz @LightControl2 @Takethatdoctors @Caffeine_Sam @BlueLionBlog @regina1775 @wakeup89427666 @TakeThatCDC @UCHastingsLaw It’s not a case history on YouTube. If someone told you it was, they misled you.
You should demand some fact checking before accepting an anecdote.
Large studies show #HPV #vaccines are very safe. https://t.co/q15Y1fQ4oj Unverified videos aren’t a good counter.",NA,0,0,0
"The asymptomatic spread of Covid has been proven to be a myth. 

Your business and life has been shut down over a myth.",NA,1,1,1
"Day 3: Biden presidency recap. 1/2

✅'No, we don't have a new coronavirus plan, after all.'
✅'There is nothing we can do to change trajectory of pandemic.'
✅'Wear a mask for 100 days, though I don't have to.'
✅'Yes, we are banning fracking despite lying we're not.'",NA,1,1,1
"Did Chris Wallace wear a mask when he went to #EpsteinIsland?

Chris Wallace tells everyone to wear a mask, why did he not wear a mask when he debated #Trump 
@ First Debate 2020? @FoxNews https://t.co/jsWYpFjrtZ",NA,1,1,1
"Mitch McConnell is a traitor to this country. That he got the vaccine after willfully failing to protect us from Covid-19 is obscene. That he's continuing to block aid to Americans that would help them survive the catastrophes his party created is unconscionable.",NA,0,0,0
"Even after the vaccine, Democrats will still:

-Make you wear a mask
-Close restaurants 
-Limit gatherings 
-Impose curfews

It won’t affect them, of course. They don’t follow their rules.",NA,1,1,1
"Lockdowns could be avoided if 95% of people wore masks, says WHO https://t.co/nNdooSqOSe",NA,0,0,1
"Coronavirus lockdowns have gone from protecting us from the virus to just plain keeping us locked down. Where are the protests against THAT?",NA,1,1,1
"@MarshaBlackburn Besides, Rand Paul, with supposed medical training, can’t even wear a mask while in the Senate chamber.  It’s ridiculous!",NA,0,0,0
"Our country is in the middle of a dramatic spike in COVID-19 cases. Please wear a mask, keep social distancing, and limit the size of any groups. It’s our patriotic duty as Americans.",NA,0,0,0
"Because of people who refuse to wear a mask, myself and much of the U.S. military will not be traveling home for the holidays this year to see our families that we have not seen in months, due to COVID spikes and travel restrictions.

Way to support the troops, MAGA!",NA,0,0,0
"QAnon conspiracy theorist Mark Taylor say the COVID-19 vaccine is ""a bioweapon"" and a precursor to the Mark of the Beast. He warns people not even to get a COVID test because ""the vaccine is now in the test."" https://t.co/pu8URAnjQW",NA,0,0,1
"So let me get this straight: wearing a mask to save lives during a  pandemic should be a personal choice, but what a woman does with her own body should be mandated by the government?",NA,0,0,0
"@BreitbartNews Biden’s Chinese pals created Wuhan Flu &amp; Dems used it as the reason to implement mail-in voting, rife with fraud and corruption, just like the Biden family.  Rerun the damn election on 12/1. Make it in-person only AND photo ID required.  Dems must concede if they don’t comply.",NA,1,1,1
"The party that wanted you to lockdown, wear masks, and stay home to “save lives” is now wishing death on the president.

This is who they are and Joe Biden refuses to condemn or refute his supporters.",NA,1,1,1
"Please wear a mask. https://t.co/aAqlmJP5RT",NA,0,0,0
"Flu of 1918.                     Covid 19. https://t.co/XbdU9wNhVe",NA,0,0,0
"I’m pleased to announce that by February 1, the COVID-19 vaccine will have been offered to every resident and staff member of Florida’s nearly 700 nursing homes and over 3,000 ALFs. More here – https://t.co/mALrwvKp9I",NA,0,0,0
"Trump once again seems to be confusing exactly what year the 1918 Spanish Flu Pandemic occurred, saying it was “...1917, 1918”. He is reading a teleprompter and still can’t keep his facts straight. Oh, and he’s still telling lies that a vaccine is coming VERY soon. #TrumpLies https://t.co/yEvqq3zWtj",NA,0,0,0
"Tune in NOW for #sovereignnation on @newsmax -- @drsimonegold &amp; @jeremyrhammond join me for must-watch reporting/analysis of lockdown mania and the truth about COVID vaccine trials. https://t.co/ZBTbn4nW27",NA,1,1,1
"Worried—Freshman GOP Kansas Congressman Jake LaTurner tests #COVID19 positive. Is 11th House member of 117th Congress—all of the same party. 

But what worries me is MOCs were all holed up together yesterday during the siege. Many maskless. He was likely infectious.",NA,0,0,0
"Two weeks to flatten the curve turned into nine months to flatten our freedom",NA,1,1,1
